time_s,total_queue,cum_delay_proxy
19797.6,67.0,796535.5999995432
19797.7,67.0,796542.2999995431
19797.8,67.0,796548.9999995431
19797.9,67.0,796555.699999543
19798.0,67.0,796562.399999543
19798.1,67.0,796569.0999995429
19798.2,67.0,796575.7999995429
19798.3,67.0,796582.4999995428
19798.4,67.0,796589.1999995428
19798.5,67.0,796595.8999995427
19798.6,67.0,796602.5999995427
19798.7,67.0,796609.2999995427
19798.8,67.0,796615.9999995426
19798.9,67.0,796622.6999995426
19799.0,67.0,796629.3999995425
19799.1,66.0,796635.9999995425
19799.2,66.0,796642.5999995425
19799.3,66.0,796649.1999995424
19799.4,66.0,796655.7999995424
19799.5,66.0,796662.3999995424
19799.6,66.0,796668.9999995424
19799.7,66.0,796675.5999995423
19799.8,66.0,796682.1999995423
19799.9,66.0,796688.7999995423
19800.0,66.0,796695.3999995423
19800.1,66.0,796701.9999995423
19800.2,66.0,796708.5999995422
19800.3,66.0,796715.1999995422
19800.4,66.0,796721.7999995422
19800.5,66.0,796728.3999995422
19800.6,66.0,796734.9999995421
19800.7,67.0,796741.6999995421
19800.8,67.0,796748.399999542
19800.9,67.0,796755.099999542
19801.0,67.0,796761.799999542
19801.1,67.0,796768.4999995419
19801.2,67.0,796775.1999995419
19801.3,67.0,796781.8999995418
19801.4,67.0,796788.5999995418
19801.5,67.0,796795.2999995417
19801.6,67.0,796801.9999995417
19801.7,67.0,796808.6999995416
19801.8,67.0,796815.3999995416
19801.9,67.0,796822.0999995415
19802.0,66.0,796828.6999995415
19802.1,64.0,796835.0999995415
19802.2,64.0,796841.4999995416
19802.3,65.0,796847.9999995416
19802.4,64.0,796854.3999995416
19802.5,64.0,796860.7999995416
19802.6,64.0,796867.1999995416
19802.7,64.0,796873.5999995416
19802.8,64.0,796879.9999995417
19802.9,64.0,796886.3999995417
19803.0,65.0,796892.8999995417
19803.1,65.0,796899.3999995417
19803.2,66.0,796905.9999995417
19803.3,67.0,796912.6999995416
19803.4,67.0,796919.3999995416
19803.5,66.0,796925.9999995416
19803.6,65.0,796932.4999995416
19803.7,65.0,796938.9999995416
19803.8,65.0,796945.4999995416
19803.9,65.0,796951.9999995416
19804.0,65.0,796958.4999995416
19804.1,62.0,796964.6999995415
19804.2,62.0,796970.8999995415
19804.3,63.0,796977.1999995415
19804.4,63.0,796983.4999995416
19804.5,64.0,796989.8999995416
19804.6,64.0,796996.2999995416
19804.7,64.0,797002.6999995416
19804.8,64.0,797009.0999995416
19804.9,64.0,797015.4999995417
19805.0,64.0,797021.8999995417
19805.1,64.0,797028.2999995417
19805.2,64.0,797034.6999995417
19805.3,64.0,797041.0999995418
19805.4,64.0,797047.4999995418
19805.5,64.0,797053.8999995418
19805.6,64.0,797060.2999995418
19805.7,64.0,797066.6999995419
19805.8,64.0,797073.0999995419
19805.9,61.0,797079.1999995419
19806.0,61.0,797085.2999995418
19806.1,61.0,797091.3999995418
19806.2,61.0,797097.4999995418
19806.3,61.0,797103.5999995418
19806.4,61.0,797109.6999995417
19806.5,61.0,797115.7999995417
19806.6,61.0,797121.8999995417
19806.7,61.0,797127.9999995417
