time_s,total_queue,cum_delay_proxy
13204.8,8.0,261192.00000002925
13204.9,8.0,261192.80000002924
13205.0,8.0,261193.60000002923
13205.1,8.0,261194.4000000292
13205.2,8.0,261195.2000000292
13205.3,8.0,261196.0000000292
13205.4,8.0,261196.80000002918
13205.5,8.0,261197.60000002917
13205.6,8.0,261198.40000002916
13205.7,8.0,261199.20000002914
13205.8,8.0,261200.00000002913
13205.9,8.0,261200.80000002912
13206.0,7.0,261201.50000002913
13206.1,7.0,261202.20000002914
13206.2,7.0,261202.90000002916
13206.3,7.0,261203.60000002917
13206.4,7.0,261204.30000002918
13206.5,7.0,261205.0000000292
13206.6,7.0,261205.7000000292
13206.7,6.0,261206.3000000292
13206.8,6.0,261206.9000000292
13206.9,5.0,261207.4000000292
13207.0,5.0,261207.9000000292
13207.1,5.0,261208.4000000292
13207.2,5.0,261208.9000000292
13207.3,5.0,261209.4000000292
13207.4,5.0,261209.9000000292
13207.5,5.0,261210.4000000292
13207.6,5.0,261210.9000000292
13207.7,5.0,261211.4000000292
13207.8,5.0,261211.9000000292
13207.9,5.0,261212.4000000292
13208.0,5.0,261212.9000000292
13208.1,5.0,261213.4000000292
13208.2,5.0,261213.9000000292
13208.3,5.0,261214.4000000292
13208.4,5.0,261214.9000000292
13208.5,5.0,261215.4000000292
13208.6,5.0,261215.9000000292
13208.7,5.0,261216.4000000292
13208.8,5.0,261216.9000000292
13208.9,5.0,261217.4000000292
13209.0,5.0,261217.9000000292
13209.1,5.0,261218.4000000292
13209.2,5.0,261218.9000000292
13209.3,5.0,261219.4000000292
13209.4,5.0,261219.9000000292
13209.5,5.0,261220.4000000292
13209.6,5.0,261220.9000000292
13209.7,6.0,261221.50000002922
13209.8,6.0,261222.10000002923
13209.9,6.0,261222.70000002923
13210.0,6.0,261223.30000002924
13210.1,6.0,261223.90000002924
13210.2,6.0,261224.50000002925
13210.3,6.0,261225.10000002926
13210.4,6.0,261225.70000002926
13210.5,6.0,261226.30000002927
13210.6,6.0,261226.90000002927
13210.7,6.0,261227.50000002928
13210.8,6.0,261228.10000002928
13210.9,6.0,261228.7000000293
13211.0,6.0,261229.3000000293
13211.1,6.0,261229.9000000293
13211.2,6.0,261230.5000000293
13211.3,6.0,261231.1000000293
13211.4,6.0,261231.70000002932
13211.5,6.0,261232.30000002933
13211.6,6.0,261232.90000002933
13211.7,6.0,261233.50000002934
13211.8,6.0,261234.10000002934
13211.9,6.0,261234.70000002935
13212.0,6.0,261235.30000002935
13212.1,6.0,261235.90000002936
13212.2,6.0,261236.50000002937
13212.3,6.0,261237.10000002937
13212.4,6.0,261237.70000002938
13212.5,6.0,261238.30000002938
13212.6,6.0,261238.9000000294
13212.7,6.0,261239.5000000294
13212.8,6.0,261240.1000000294
13212.9,6.0,261240.7000000294
13213.0,6.0,261241.3000000294
