time_s,total_queue,cum_delay_proxy
24058.9,14.0,373760.1999999103
24059.0,14.0,373761.59999991034
24059.1,14.0,373762.99999991036
24059.2,14.0,373764.3999999104
24059.3,14.0,373765.7999999104
24059.4,14.0,373767.19999991043
24059.5,15.0,373768.69999991043
24059.6,14.0,373770.09999991045
24059.7,14.0,373771.4999999105
24059.8,15.0,373772.9999999105
24059.9,15.0,373774.4999999105
24060.0,15.0,373775.9999999105
24060.1,15.0,373777.4999999105
24060.2,15.0,373778.9999999105
24060.3,15.0,373780.4999999105
24060.4,15.0,373781.9999999105
24060.5,15.0,373783.4999999105
24060.6,16.0,373785.09999991045
24060.7,16.0,373786.69999991043
24060.8,16.0,373788.2999999104
24060.9,16.0,373789.8999999104
24061.0,16.0,373791.49999991036
24061.1,16.0,373793.09999991034
24061.2,16.0,373794.6999999103
24061.3,16.0,373796.2999999103
24061.4,16.0,373797.89999991027
24061.5,17.0,373799.5999999103
24061.6,17.0,373801.2999999103
24061.7,16.0,373802.89999991027
24061.8,17.0,373804.5999999103
24061.9,15.0,373806.0999999103
24062.0,15.0,373807.5999999103
24062.1,14.0,373808.9999999103
24062.2,15.0,373810.4999999103
24062.3,15.0,373811.9999999103
24062.4,16.0,373813.5999999103
24062.5,16.0,373815.19999991026
24062.6,16.0,373816.79999991023
24062.7,16.0,373818.3999999102
24062.8,16.0,373819.9999999102
24062.9,16.0,373821.59999991016
24063.0,16.0,373823.19999991014
24063.1,16.0,373824.7999999101
24063.2,17.0,373826.4999999101
24063.3,17.0,373828.19999991014
24063.4,17.0,373829.89999991015
24063.5,17.0,373831.59999991016
24063.6,17.0,373833.2999999102
24063.7,18.0,373835.09999991016
24063.8,17.0,373836.7999999102
24063.9,17.0,373838.4999999102
24064.0,15.0,373839.9999999102
24064.1,15.0,373841.4999999102
24064.2,15.0,373842.9999999102
24064.3,15.0,373844.4999999102
24064.4,16.0,373846.09999991016
24064.5,16.0,373847.69999991014
24064.6,16.0,373849.2999999101
24064.7,16.0,373850.8999999101
24064.8,16.0,373852.49999991007
24064.9,16.0,373854.09999991005
24065.0,16.0,373855.69999991
24065.1,16.0,373857.29999991
24065.2,17.0,373858.99999991
24065.3,17.0,373860.69999991
24065.4,16.0,373862.29999991
24065.5,16.0,373863.89999991
24065.6,16.0,373865.49999990995
24065.7,16.0,373867.09999990993
24065.8,16.0,373868.6999999099
24065.9,17.0,373870.3999999099
24066.0,16.0,373871.9999999099
24066.1,16.0,373873.5999999099
24066.2,16.0,373875.19999990985
24066.3,16.0,373876.7999999098
24066.4,17.0,373878.49999990984
24066.5,16.0,373880.0999999098
24066.6,16.0,373881.6999999098
24066.7,14.0,373883.0999999098
24066.8,15.0,373884.5999999098
24066.9,15.0,373886.0999999098
24067.0,15.0,373887.5999999098
24067.1,15.0,373889.0999999098
24067.2,14.0,373890.49999990984
24067.3,13.0,373891.7999999098
24067.4,13.0,373893.0999999098
24067.5,15.0,373894.5999999098
24067.6,15.0,373896.0999999098
24067.7,15.0,373897.5999999098
24067.8,15.0,373899.0999999098
24067.9,16.0,373900.6999999098
24068.0,16.0,373902.29999990977
24068.1,16.0,373903.89999990974
24068.2,16.0,373905.4999999097
24068.3,16.0,373907.0999999097
24068.4,16.0,373908.6999999097
24068.5,16.0,373910.29999990965
24068.6,15.0,373911.79999990965
24068.7,15.0,373913.29999990965
24068.8,13.0,373914.59999990964
24068.9,13.0,373915.8999999096
24069.0,14.0,373917.29999990965
24069.1,14.0,373918.6999999097
24069.2,14.0,373920.0999999097
24069.3,14.0,373921.4999999097
24069.4,13.0,373922.7999999097
24069.5,14.0,373924.19999990973
24069.6,14.0,373925.59999990975
24069.7,14.0,373926.9999999098
24069.8,14.0,373928.3999999098
24069.9,14.0,373929.7999999098
24070.0,14.0,373931.19999990985
24070.1,14.0,373932.5999999099
24070.2,14.0,373933.9999999099
24070.3,14.0,373935.3999999099
24070.4,13.0,373936.6999999099
24070.5,13.0,373937.9999999099
24070.6,14.0,373939.3999999099
24070.7,14.0,373940.79999990994
24070.8,14.0,373942.19999990996
24070.9,14.0,373943.59999991
24071.0,14.0,373944.99999991
24071.1,14.0,373946.39999991003
24071.2,14.0,373947.79999991006
24071.3,14.0,373949.1999999101
24071.4,14.0,373950.5999999101
24071.5,14.0,373951.9999999101
24071.6,14.0,373953.39999991015
24071.7,14.0,373954.7999999102
24071.8,14.0,373956.1999999102
24071.9,13.0,373957.4999999102
24072.0,13.0,373958.7999999102
24072.1,13.0,373960.09999991016
24072.2,13.0,373961.39999991015
24072.3,13.0,373962.69999991014
24072.4,13.0,373963.9999999101
24072.5,13.0,373965.2999999101
24072.6,13.0,373966.5999999101
24072.7,14.0,373967.9999999101
24072.8,14.0,373969.39999991015
24072.9,13.0,373970.69999991014
24073.0,13.0,373971.9999999101
24073.1,13.0,373973.2999999101
24073.2,13.0,373974.5999999101
24073.3,13.0,373975.8999999101
24073.4,14.0,373977.2999999101
24073.5,12.0,373978.4999999101
24073.6,12.0,373979.69999991014
24073.7,12.0,373980.89999991015
24073.8,12.0,373982.09999991016
24073.9,12.0,373983.2999999102
24074.0,13.0,373984.59999991016
24074.1,13.0,373985.89999991015
24074.2,13.0,373987.19999991014
24074.3,14.0,373988.59999991016
24074.4,14.0,373989.9999999102
24074.5,14.0,373991.3999999102
24074.6,14.0,373992.79999991023
24074.7,14.0,373994.19999991026
24074.8,14.0,373995.5999999103
24074.9,15.0,373997.0999999103
24075.0,15.0,373998.5999999103
24075.1,15.0,374000.0999999103
24075.2,15.0,374001.5999999103
24075.3,15.0,374003.0999999103
24075.4,15.0,374004.5999999103
24075.5,15.0,374006.0999999103
24075.6,15.0,374007.5999999103
24075.7,15.0,374009.0999999103
24075.8,15.0,374010.5999999103
24075.9,15.0,374012.0999999103
24076.0,15.0,374013.5999999103
24076.1,15.0,374015.0999999103
24076.2,14.0,374016.4999999103
24076.3,14.0,374017.8999999103
24076.4,14.0,374019.29999991035
24076.5,14.0,374020.6999999104
24076.6,14.0,374022.0999999104
24076.7,14.0,374023.4999999104
24076.8,14.0,374024.89999991044
24076.9,14.0,374026.29999991046
24077.0,15.0,374027.79999991046
24077.1,15.0,374029.29999991046
24077.2,15.0,374030.79999991046
24077.3,15.0,374032.29999991046
24077.4,15.0,374033.79999991046
24077.5,15.0,374035.29999991046
24077.6,15.0,374036.79999991046
24077.7,15.0,374038.29999991046
24077.8,15.0,374039.79999991046
24077.9,15.0,374041.29999991046
24078.0,15.0,374042.79999991046
24078.1,15.0,374044.29999991046
24078.2,16.0,374045.89999991044
24078.3,16.0,374047.4999999104
24078.4,16.0,374049.0999999104
